Task_ID,Date,Day,Sprint_Week,Phase,Workstream,Platform,Module,Feature,Task_Title,Task_Details,API_or_Integration_Focus,Estimated_Hours,Actual_Hours,Status,Dependency,Priority,Risk_Level,Owner,Reference_Source,Project_Planning_Monitoring_Architecture_Owner,DotNet_Owner,Flutter_Owner,Dynamics_CRM_Owner,PowerApps_Owner
TS-024,14-07-2025,Monday,Week-05,Auth & Identity,Authentication,Flutter + .NET,Sign In/Sign Up,Identity and Access,Forgot password + verify code + reset flow wiring,"Forgot password + verify code + reset flow wiring with completed implementation, peer review, and closure notes.",ApplicationUser/Auth/Signup endpoints integrated,6,6.5,Done,Identity endpoints stable,High,Medium,Murali,ApplicationUser/Auth/Signup APIs,,Pramod,Murali,,
TS-025,15-07-2025,Tuesday,Week-05,Auth & Identity,Authentication,Flutter + .NET,Sign In/Sign Up,Identity and Access,Role-based routing after authentication,"Role-based routing after authentication with completed implementation, peer review, and closure notes.",ApplicationUser/Auth/Signup endpoints integrated,8,8,Done,Identity endpoints stable,High,Medium,Sreeker,ApplicationUser/Auth/Signup APIs,,Pramod,Sreeker,,
TS-026,16-07-2025,Wednesday,Week-06,Auth & Identity,Authentication,Flutter + .NET,Sign In/Sign Up,Identity and Access,Implement sign-in UI validation and state handling,"Implement sign-in UI validation and state handling with completed implementation, peer review, and closure notes.",ApplicationUser/Auth/Signup endpoints integrated,8,7.5,Done,Identity endpoints stable,High,Medium,Murali,ApplicationUser/Auth/Signup APIs,,Pramod,Murali,,
TS-027,17-07-2025,Thursday,Week-06,Auth & Identity,Authentication,Flutter + .NET,Sign In/Sign Up,Identity and Access,Integrate login API and token persistence,"Integrate login API and token persistence with completed implementation, peer review, and closure notes.",ApplicationUser/Auth/Signup endpoints integrated,7,8,Done,Identity endpoints stable,High,Medium,Sreeker,ApplicationUser/Auth/Signup APIs,,Pramod,Sreeker,,
TS-028,18-07-2025,Friday,Week-06,Auth & Identity,Authentication,Flutter + .NET,Sign In/Sign Up,Identity and Access,Implement signup flow with company selection,"Implement signup flow with company selection with completed implementation, peer review, and closure notes.",ApplicationUser/Auth/Signup endpoints integrated,8,6.5,Done,Identity endpoints stable,High,Medium,Murali,ApplicationUser/Auth/Signup APIs,,Pramod,Murali,,
TS-029,21-07-2025,Monday,Week-06,Role Dashboards & Navigation,Frontend,Flutter,Dashboards + Top Nav,Role-aware UX,Implement HCO dashboard with pending approvals focus,"Implement HCO dashboard with pending approvals focus with completed implementation, peer review, and closure notes.",Role response and dashboard contracts validated,6,8,Done,Auth roles available,High,Medium,Sreeker,HELP role matrix,,,Sreeker,,
TS-030,22-07-2025,Tuesday,Week-06,Role Dashboards & Navigation,Frontend,Flutter,Dashboards + Top Nav,Role-aware UX,Add shared pull-to-refresh and empty-state handling,"Add shared pull-to-refresh and empty-state handling with completed implementation, peer review, and closure notes.",Role response and dashboard contracts validated,8,7.5,Done,Auth roles available,High,Medium,Murali,HELP role matrix,,,Murali,,
TS-031,23-07-2025,Wednesday,Week-07,Role Dashboards & Navigation,Frontend,Flutter,Dashboards + Top Nav,Role-aware UX,Build role-aware top navigation visibility rules,"Build role-aware top navigation visibility rules with completed implementation, peer review, and closure notes.",Role response and dashboard contracts validated,8,8,Done,Auth roles available,High,Medium,Sreeker,HELP role matrix,,,Sreeker,,
TS-032,24-07-2025,Thursday,Week-07,Role Dashboards & Navigation,Frontend,Flutter,Dashboards + Top Nav,Role-aware UX,Implement Pharma Rep dashboard cards and refresh,"Implement Pharma Rep dashboard cards and refresh with completed implementation, peer review, and closure notes.",Role response and dashboard contracts validated,7,6.5,Done,Auth roles available,High,Medium,Murali,HELP role matrix,,,Murali,,
TS-033,25-07-2025,Friday,Week-07,Role Dashboards & Navigation,Frontend,Flutter,Dashboards + Top Nav,Role-aware UX,Implement HCP dashboard summaries and actions,"Implement HCP dashboard summaries and actions with completed implementation, peer review, and closure notes.",Role response and dashboard contracts validated,8,8,Done,Auth roles available,High,Medium,Sreeker,HELP role matrix,,,Sreeker,,
TS-034,28-07-2025,Monday,Week-07,Role Dashboards & Navigation,Frontend,Flutter,Dashboards + Top Nav,Role-aware UX,Implement HCO dashboard with pending approvals focus,"Implement HCO dashboard with pending approvals focus with completed implementation, peer review, and closure notes.",Role response and dashboard contracts validated,6,7.5,Done,Auth roles available,High,Medium,Murali,HELP role matrix,,,Murali,,
TS-035,29-07-2025,Tuesday,Week-07,Role Dashboards & Navigation,Frontend,Flutter,Dashboards + Top Nav,Role-aware UX,Add shared pull-to-refresh and empty-state handling,"Add shared pull-to-refresh and empty-state handling with completed implementation, peer review, and closure notes.",Role response and dashboard contracts validated,8,8,Done,Auth roles available,High,Medium,Sreeker,HELP role matrix,,,Sreeker,,
TS-036,30-07-2025,Wednesday,Week-08,Role Dashboards & Navigation,Frontend,Flutter,Dashboards + Top Nav,Role-aware UX,Build role-aware top navigation visibility rules,"Build role-aware top navigation visibility rules with completed implementation, peer review, and closure notes.",Role response and dashboard contracts validated,8,6.5,Done,Auth roles available,High,Medium,Murali,HELP role matrix,,,Murali,,
TS-037,31-07-2025,Thursday,Week-08,Role Dashboards & Navigation,Frontend,Flutter,Dashboards + Top Nav,Role-aware UX,Implement Pharma Rep dashboard cards and refresh,"Implement Pharma Rep dashboard cards and refresh with completed implementation, peer review, and closure notes.",Role response and dashboard contracts validated,7,8,Done,Auth roles available,High,Medium,Sreeker,HELP role matrix,,,Sreeker,,
TS-038,01-08-2025,Friday,Week-08,Role Dashboards & Navigation,Frontend,Flutter,Dashboards + Top Nav,Role-aware UX,Implement HCP dashboard summaries and actions,"Implement HCP dashboard summaries and actions with completed implementation, peer review, and closure notes.",Role response and dashboard contracts validated,8,7.5,Done,Auth roles available,High,Medium,Murali,HELP role matrix,,,Murali,,
TS-039,04-08-2025,Monday,Week-08,Role Dashboards & Navigation,Frontend,Flutter,Dashboards + Top Nav,Role-aware UX,Implement HCO dashboard with pending approvals focus,"Implement HCO dashboard with pending approvals focus with completed implementation, peer review, and closure notes.",Role response and dashboard contracts validated,6,8,Done,Auth roles available,High,Medium,Sreeker,HELP role matrix,,,Sreeker,,
TS-040,05-08-2025,Tuesday,Week-08,Role Dashboards & Navigation,Frontend,Flutter,Dashboards + Top Nav,Role-aware UX,Add shared pull-to-refresh and empty-state handling,"Add shared pull-to-refresh and empty-state handling with completed implementation, peer review, and closure notes.",Role response and dashboard contracts validated,8,6.5,Done,Auth roles available,High,Medium,Murali,HELP role matrix,,,Murali,,
TS-041,06-08-2025,Wednesday,Week-09,Role Dashboards & Navigation,Frontend,Flutter,Dashboards + Top Nav,Role-aware UX,Build role-aware top navigation visibility rules,"Build role-aware top navigation visibility rules with completed implementation, peer review, and closure notes.",Role response and dashboard contracts validated,8,8,Done,Auth roles available,High,Medium,Sreeker,HELP role matrix,,,Sreeker,,
TS-042,07-08-2025,Thursday,Week-09,Role Dashboards & Navigation,Frontend,Flutter,Dashboards + Top Nav,Role-aware UX,Implement Pharma Rep dashboard cards and refresh,"Implement Pharma Rep dashboard cards and refresh with completed implementation, peer review, and closure notes.",Role response and dashboard contracts validated,7,7.5,Done,Auth roles available,High,Medium,Murali,HELP role matrix,,,Murali,,
TS-043,08-08-2025,Friday,Week-09,Event Lifecycle,Core Event Management,Flutter + .NET + Dynamics CRM,New Event/Event History/Event Details,Event Lifecycle,Wire event create/update/get APIs for lifecycle data,"Wire event create/update/get APIs for lifecycle data with completed implementation, peer review, and closure notes.","Events, Contact, and EventAttachments APIs consumed",8,8,Done,CRM entity schema finalized,High,High,Srinivas,Events/Contact/EventAttachments APIs,,Pramod,Sreeker,Srinivas,
TS-044,11-08-2025,Monday,Week-09,Event Lifecycle,Core Event Management,Flutter + .NET + Dynamics CRM,New Event/Event History/Event Details,Event Lifecycle,"Implement event history filters, sorting, and date ranges","Implement event history filters, sorting, and date ranges with completed implementation, peer review, and closure notes.","Events, Contact, and EventAttachments APIs consumed",6,6.5,Done,CRM entity schema finalized,High,High,Srinivas,Events/Contact/EventAttachments APIs,,Pramod,Murali,Srinivas,
TS-045,12-08-2025,Tuesday,Week-09,Event Lifecycle,Core Event Management,Flutter + .NET + Dynamics CRM,New Event/Event History/Event Details,Event Lifecycle,"Implement event details, check-in, and termination actions","Implement event details, check-in, and termination actions with completed implementation, peer review, and closure notes.","Events, Contact, and EventAttachments APIs consumed",8,8,Done,CRM entity schema finalized,High,High,Srinivas,Events/Contact/EventAttachments APIs,,Pramod,Sreeker,Srinivas,
TS-046,13-08-2025,Wednesday,Week-10,Event Lifecycle,Core Event Management,Flutter + .NET + Dynamics CRM,New Event/Event History/Event Details,Event Lifecycle,Build create event form and multi-day validations,"Build create event form and multi-day validations with completed implementation, peer review, and closure notes.","Events, Contact, and EventAttachments APIs consumed",8,7.5,Done,CRM entity schema finalized,High,High,Srinivas,Events/Contact/EventAttachments APIs,,Pramod,Murali,Srinivas,
TS-047,14-08-2025,Thursday,Week-10,Event Lifecycle,Core Event Management,Flutter + .NET + Dynamics CRM,New Event/Event History/Event Details,Event Lifecycle,Integrate HCO/HCP search endpoints into event form,"Integrate HCO/HCP search endpoints into event form with completed implementation, peer review, and closure notes.","Events, Contact, and EventAttachments APIs consumed",7,8,Done,CRM entity schema finalized,High,High,Srinivas,Events/Contact/EventAttachments APIs,,Pramod,Sreeker,Srinivas,
TS-048,15-08-2025,Friday,Week-10,Event Lifecycle,Core Event Management,Flutter + .NET + Dynamics CRM,New Event/Event History/Event Details,Event Lifecycle,Wire event create/update/get APIs for lifecycle data,"Wire event create/update/get APIs for lifecycle data with completed implementation, peer review, and closure notes.","Events, Contact, and EventAttachments APIs consumed",8,6.5,Done,CRM entity schema finalized,High,High,Srinivas,Events/Contact/EventAttachments APIs,,Pramod,Murali,Srinivas,
TS-049,18-08-2025,Monday,Week-10,Event Lifecycle,Core Event Management,Flutter + .NET + Dynamics CRM,New Event/Event History/Event Details,Event Lifecycle,"Implement event history filters, sorting, and date ranges","Implement event history filters, sorting, and date ranges with completed implementation, peer review, and closure notes.","Events, Contact, and EventAttachments APIs consumed",6,8,Done,CRM entity schema finalized,High,High,Srinivas,Events/Contact/EventAttachments APIs,,Pramod,Sreeker,Srinivas,
TS-050,19-08-2025,Tuesday,Week-10,Event Lifecycle,Core Event Management,Flutter + .NET + Dynamics CRM,New Event/Event History/Event Details,Event Lifecycle,"Implement event details, check-in, and termination actions","Implement event details, check-in, and termination actions with completed implementation, peer review, and closure notes.","Events, Contact, and EventAttachments APIs consumed",8,7.5,Done,CRM entity schema finalized,High,High,Srinivas,Events/Contact/EventAttachments APIs,,Pramod,Murali,Srinivas,
TS-051,20-08-2025,Wednesday,Week-11,Event Lifecycle,Core Event Management,Flutter + .NET + Dynamics CRM,New Event/Event History/Event Details,Event Lifecycle,Build create event form and multi-day validations,"Build create event form and multi-day validations with completed implementation, peer review, and closure notes.","Events, Contact, and EventAttachments APIs consumed",8,8,Done,CRM entity schema finalized,High,High,Srinivas,Events/Contact/EventAttachments APIs,,Pramod,Sreeker,Srinivas,
TS-052,21-08-2025,Thursday,Week-11,Event Lifecycle,Core Event Management,Flutter + .NET + Dynamics CRM,New Event/Event History/Event Details,Event Lifecycle,Integrate HCO/HCP search endpoints into event form,"Integrate HCO/HCP search endpoints into event form with completed implementation, peer review, and closure notes.","Events, Contact, and EventAttachments APIs consumed",7,6.5,Done,CRM entity schema finalized,High,High,Srinivas,Events/Contact/EventAttachments APIs,,Pramod,Murali,Srinivas,
TS-053,22-08-2025,Friday,Week-11,Event Lifecycle,Core Event Management,Flutter + .NET + Dynamics CRM,New Event/Event History/Event Details,Event Lifecycle,Wire event create/update/get APIs for lifecycle data,"Wire event create/update/get APIs for lifecycle data with completed implementation, peer review, and closure notes.","Events, Contact, and EventAttachments APIs consumed",8,8,Done,CRM entity schema finalized,High,High,Srinivas,Events/Contact/EventAttachments APIs,,Pramod,Sreeker,Srinivas,
TS-054,25-08-2025,Monday,Week-11,Event Lifecycle,Core Event Management,Flutter + .NET + Dynamics CRM,New Event/Event History/Event Details,Event Lifecycle,"Implement event history filters, sorting, and date ranges","Implement event history filters, sorting, and date ranges with completed implementation, peer review, and closure notes.","Events, Contact, and EventAttachments APIs consumed",6,7.5,Done,CRM entity schema finalized,High,High,Srinivas,Events/Contact/EventAttachments APIs,,Pramod,Murali,Srinivas,
TS-055,26-08-2025,Tuesday,Week-11,Event Lifecycle,Core Event Management,Flutter + .NET + Dynamics CRM,New Event/Event History/Event Details,Event Lifecycle,"Implement event details, check-in, and termination actions","Implement event details, check-in, and termination actions with completed implementation, peer review, and closure notes.","Events, Contact, and EventAttachments APIs consumed",8,8,Done,CRM entity schema finalized,High,High,Srinivas,Events/Contact/EventAttachments APIs,,Pramod,Sreeker,Srinivas,
TS-056,27-08-2025,Wednesday,Week-12,Event Lifecycle,Core Event Management,Flutter + .NET + Dynamics CRM,New Event/Event History/Event Details,Event Lifecycle,Build create event form and multi-day validations,"Build create event form and multi-day validations with completed implementation, peer review, and closure notes.","Events, Contact, and EventAttachments APIs consumed",8,6.5,Done,CRM entity schema finalized,High,High,Srinivas,Events/Contact/EventAttachments APIs,,Pramod,Murali,Srinivas,
TS-057,28-08-2025,Thursday,Week-12,Approvals & Notifications,Workflow Automation,Flutter + .NET + Power Apps,Pending Receipt + Notifications,Approvals,Enforce rejection remarks validation and confirmations,"Enforce rejection remarks validation and confirmations with completed implementation, peer review, and closure notes.",Events approval and Notifications APIs consumed,7,8,Done,FCM + approval design,High,Medium,Srinivas,Events update-participant + Notifications API,,Pramod,Sreeker,,Srinivas
TS-058,29-08-2025,Friday,Week-12,Approvals & Notifications,Workflow Automation,Flutter + .NET + Power Apps,Pending Receipt + Notifications,Approvals,Integrate update-participant and approval status endpoints,"Integrate update-participant and approval status endpoints with completed implementation, peer review, and closure notes.",Events approval and Notifications APIs consumed,8,7.5,Done,FCM + approval design,High,Medium,Srinivas,Events update-participant + Notifications API,,Pramod,Murali,,Srinivas
TS-059,01-09-2025,Monday,Week-12,Approvals & Notifications,Workflow Automation,Flutter + .NET + Power Apps,Pending Receipt + Notifications,Approvals,Trigger push notifications for pending approvals,"Trigger push notifications for pending approvals with completed implementation, peer review, and closure notes.",Events approval and Notifications APIs consumed,6,8,Done,FCM + approval design,High,Medium,Srinivas,Events update-participant + Notifications API,,Pramod,Sreeker,,Srinivas
TS-060,02-09-2025,Tuesday,Week-12,Approvals & Notifications,Workflow Automation,Flutter + .NET + Power Apps,Pending Receipt + Notifications,Approvals,Create Power Apps approval monitoring dashboard,"Create Power Apps approval monitoring dashboard with completed implementation, peer review, and closure notes.",Events approval and Notifications APIs consumed,8,6.5,Done,FCM + approval design,High,Medium,Srinivas,Events update-participant + Notifications API,,Pramod,Murali,,Srinivas
TS-061,03-09-2025,Wednesday,Week-13,Approvals & Notifications,Workflow Automation,Flutter + .NET + Power Apps,Pending Receipt + Notifications,Approvals,Implement participant approval/rejection UI states,"Implement participant approval/rejection UI states with completed implementation, peer review, and closure notes.",Events approval and Notifications APIs consumed,8,8,Done,FCM + approval design,High,Medium,Srinivas,Events update-participant + Notifications API,,Pramod,Sreeker,,Srinivas
TS-062,04-09-2025,Thursday,Week-13,Approvals & Notifications,Workflow Automation,Flutter + .NET + Power Apps,Pending Receipt + Notifications,Approvals,Enforce rejection remarks validation and confirmations,"Enforce rejection remarks validation and confirmations with completed implementation, peer review, and closure notes.",Events approval and Notifications APIs consumed,7,7.5,Done,FCM + approval design,High,Medium,Srinivas,Events update-participant + Notifications API,,Pramod,Murali,,Srinivas
TS-063,05-09-2025,Friday,Week-13,Approvals & Notifications,Workflow Automation,Flutter + .NET + Power Apps,Pending Receipt + Notifications,Approvals,Integrate update-participant and approval status endpoints,"Integrate update-participant and approval status endpoints with completed implementation, peer review, and closure notes.",Events approval and Notifications APIs consumed,8,8,Done,FCM + approval design,High,Medium,Srinivas,Events update-participant + Notifications API,,Pramod,Sreeker,,Srinivas
TS-064,08-09-2025,Monday,Week-13,Approvals & Notifications,Workflow Automation,Flutter + .NET + Power Apps,Pending Receipt + Notifications,Approvals,Trigger push notifications for pending approvals,"Trigger push notifications for pending approvals with completed implementation, peer review, and closure notes.",Events approval and Notifications APIs consumed,6,6.5,Done,FCM + approval design,High,Medium,Srinivas,Events update-participant + Notifications API,,Pramod,Murali,,Srinivas
TS-065,09-09-2025,Tuesday,Week-13,Approvals & Notifications,Workflow Automation,Flutter + .NET + Power Apps,Pending Receipt + Notifications,Approvals,Create Power Apps approval monitoring dashboard,"Create Power Apps approval monitoring dashboard with completed implementation, peer review, and closure notes.",Events approval and Notifications APIs consumed,8,8,Done,FCM + approval design,High,Medium,Srinivas,Events update-participant + Notifications API,,Pramod,Sreeker,,Srinivas
TS-066,10-09-2025,Wednesday,Week-14,Approvals & Notifications,Workflow Automation,Flutter + .NET + Power Apps,Pending Receipt + Notifications,Approvals,Implement participant approval/rejection UI states,"Implement participant approval/rejection UI states with completed implementation, peer review, and closure notes.",Events approval and Notifications APIs consumed,8,7.5,Done,FCM + approval design,High,Medium,Srinivas,Events update-participant + Notifications API,,Pramod,Murali,,Srinivas
TS-067,11-09-2025,Thursday,Week-14,Approvals & Notifications,Workflow Automation,Flutter + .NET + Power Apps,Pending Receipt + Notifications,Approvals,Enforce rejection remarks validation and confirmations,"Enforce rejection remarks validation and confirmations with completed implementation, peer review, and closure notes.",Events approval and Notifications APIs consumed,7,8,Done,FCM + approval design,High,Medium,Srinivas,Events update-participant + Notifications API,,Pramod,Sreeker,,Srinivas
TS-068,12-09-2025,Friday,Week-14,Approvals & Notifications,Workflow Automation,Flutter + .NET + Power Apps,Pending Receipt + Notifications,Approvals,Integrate update-participant and approval status endpoints,"Integrate update-participant and approval status endpoints with completed implementation, peer review, and closure notes.",Events approval and Notifications APIs consumed,8,6.5,Done,FCM + approval design,High,Medium,Srinivas,Events update-participant + Notifications API,,Pramod,Murali,,Srinivas
TS-069,15-09-2025,Monday,Week-14,Approvals & Notifications,Workflow Automation,Flutter + .NET + Power Apps,Pending Receipt + Notifications,Approvals,Trigger push notifications for pending approvals,"Trigger push notifications for pending approvals with completed implementation, peer review, and closure notes.",Events approval and Notifications APIs consumed,6,8,Done,FCM + approval design,High,Medium,Srinivas,Events update-participant + Notifications API,,Pramod,Sreeker,,Srinivas
TS-070,16-09-2025,Tuesday,Week-14,Approvals & Notifications,Workflow Automation,Flutter + .NET + Power Apps,Pending Receipt + Notifications,Approvals,Create Power Apps approval monitoring dashboard,"Create Power Apps approval monitoring dashboard with completed implementation, peer review, and closure notes.",Events approval and Notifications APIs consumed,8,7.5,Done,FCM + approval design,High,Medium,Srinivas,Events update-participant + Notifications API,,Pramod,Murali,,Srinivas
